Potential (V),Current (A)
-1.79981911182404,-0.0000619829952483997
-1.80224144458771,-0.0000626844848738983
-1.80726754665375,-0.0000640414436929859
-1.81227076053619,-0.0000655722978990525
-1.81722033023834,-0.0000669487271807157
-1.82226467132568,-0.0000682217869325541
-1.82725894451141,-0.0000698267249390483
-1.83227705955505,-0.0000713703557266854
-1.83722877502441,-0.0000730372412363067
-1.84219479560852,-0.0000747662270441651
-1.84723138809204,-0.0000764809374231845
-1.8522481918335,-0.0000783610594226047
-1.85724306106567,-0.000080258003436029
-1.86217701435089,-0.0000822353176772594
-1.86719250679016,-0.0000842978552100249
-1.87222015857697,-0.0000864167741383426
-1.87719404697418,-0.0000886155030457303
-1.8821759223938,-0.0000911016904865392
-1.88724398612976,-0.0000936068972805515
-1.8922381401062,-0.0000959478129516356
-1.89721202850342,-0.0000987191451713443
-1.90224075317383,-0.000101508405350614
-1.90716445446014,-0.00010443326755194
-1.91222882270813,-0.000107324449345469
-1.91717612743378,-0.000110243738163263
-1.9221785068512,-0.000113528687506914
-1.9272563457489,-0.000116566232463811
-1.93222033977509,-0.000120078133477364
-1.93723285198212,-0.000123542136861943
-1.94217038154602,-0.000126909697428346
-1.94723010063171,-0.000130630927742459
-1.95223760604858,-0.000134379355586134
-1.95720517635345,-0.000138229428557679
-1.96216225624084,-0.000142286080517806
-1.96717512607574,-0.000146355960168876
-1.97222638130188,-0.000150671548908576
-1.97720217704773,-0.000155037108925171
-1.98223125934601,-0.000159446077304892
-1.98721408843994,-0.000164172612130642
-1.99219787120819,-0.000168876009411179
-1.99716639518738,-0.000173703578184359
-2.00217175483704,-0.000178801550646313
-2.00721430778503,-0.00018409981566947
-2.01218223571777,-0.000189517086255364
-2.01716780662537,-0.000194976120837964
-2.02217507362366,-0.000200863141799346
-2.02717208862305,-0.000207219476578757
-2.03217387199402,-0.000213749313843437
-2.03719091415405,-0.000220990492380224
-2.04215049743652,-0.000228983917622827
-2.04714369773865,-0.000237509651924483
-2.05215287208557,-0.000246671814238653
-2.05714964866638,-0.000256993458606303
-2.06215071678162,-0.000268478557700291
-2.0671374797821,-0.00028119923081249
-2.07216954231262,-0.000295527919661254
-2.07714867591858,-0.000310983159579337
-2.08210277557373,-0.000328128866385669
-2.08718800544739,-0.000346506800269708
-2.09219622612,-0.000366128515452147
-2.09712839126587,-0.000386628264095634
-2.10211491584778,-0.000407923187594861
-2.10713195800781,-0.000429499545134604
-2.11215710639954,-0.000451358151622117
-2.11716771125793,-0.000472695071948692
-2.12214589118958,-0.000494084903039038
-2.12715005874634,-0.000515148742124438
-2.1322181224823,-0.00053557672072202
-2.13715147972107,-0.000555100967176259
-2.14212846755981,-0.000574109028093517
-2.14713716506958,-0.000592233962379396
-2.15217328071594,-0.000609890266787261
-2.15712976455688,-0.000626823573838919
-2.16207766532898,-0.000643249601125717
-2.16713714599609,-0.000659430748783052
-2.17211604118347,-0.000674873881507665
-2.17713928222656,-0.000690379936713725
-2.18211507797241,-0.000705621147062629
-2.18709921836853,-0.000720704032573849
-2.19210982322693,-0.000735795358195901
-2.19713687896729,-0.000750764738768339
-2.20212411880493,-0.000765501521527767
-2.20714139938354,-0.000780475733336061
-2.21213603019714,-0.000795904896222055
-2.21714925765991,-0.000810799479950219
-2.22209095954895,-0.000825911469291896
